Station,Occurrences,Latitude,Longitude
California Ave & Cortez St,7020,41.900363,-87.696704
Ashland Ave & Wellington Ave,7245,41.936116815,-87.669873834
Sayre & Diversey,521,41.93,-87.8
Damen Ave & Thomas St (Augusta Blvd),8453,41.901315,-87.677409
Clark St & 9th St (AMLI),5875,41.870816,-87.631246
Emerald Ave & 28th St,2909,41.84358,-87.645368
Kilbourn & Roscoe,518,41.94,-87.74
Paulina St & Montrose Ave,4567,41.961507,-87.671387
Elston Ave & George St,1662,41.93,-87.69
Ashland Ave & 50th St,236,41.802999616,-87.664693356
Racine Ave & 61st St,64,41.783189,-87.654372
Pulaski Rd & Lake St,223,41.885325074,-87.726578236
Rockwell St & Cermak Rd,993,41.85,-87.69
Stony Island Ave & South Chicago Ave,122,41.751173,-87.585337
Leavitt St & Addison St,3441,41.946655,-87.683359
MLK Jr Dr & 63rd St,462,41.78008063659,-87.6159428567
Latrobe Ave & Chicago Ave,183,41.894745,-87.756895
Montrose Harbor,20653,41.963982,-87.638181
Laramie Ave & Kinzie St,241,41.887878656,-87.75568378
Clark St & Lake St,16267,41.88602082773,-87.6308760584
Damen Ave & Division St,9129,41.903266,-87.678435
Millennium Park,34265,41.8810317,-87.62408432
Public Rack - Houston Ave & 131st St,11,41.66,-87.55
Long Ave & Belden Ave,343,41.92,-87.76
DuSable Lake Shore Dr & Diversey Pkwy,22820,41.932591796,-87.636403322
Stewart Ave & 83rd St,207,41.743730307,-87.6340909
Lincoln Ave & Diversey Pkwy,15332,41.932225,-87.658617
Marshfield Ave & 44th St,296,41.813991333333334,-87.66663916666667
Vincennes Ave & 75th St,98,41.75797,-87.63121
Lincoln Ave & Belle Plaine Ave,6185,41.955983043,-87.68028008900001
Theater on the Lake,32737,41.926277,-87.630834
Western Ave & Division St,6069,41.902893,-87.687275
State St & 29th St,1224,41.841707,-87.626938
Public Rack - Komensky Ave & 31st St,37,41.84,-87.73
State St & 35th St,5748,41.8310495,-87.62694516666667
Campbell Ave & Fullerton Ave,3838,41.92463247165,-87.6893070063
Ogden Ave & Chicago Ave,12969,41.8963575,-87.65404
Sedgwick St & Huron St,13799,41.894666,-87.638437
LaSalle St & Adams St,5046,41.879194,-87.6319205
Broadway & Sheridan Rd,16519,41.952798128,-87.650065899
State St & Pearson St,8399,41.897448,-87.628722
Spaulding Ave & 63rd St,137,41.78,-87.71
Central Ave & Harrison St,116,41.872987628,-87.764518619
Archer Ave & 43rd St,178,41.82,-87.7
Public Rack - Western Ave & 100th St,15,41.71,-87.68
S Wentworth Ave & W 111th St,37,41.69,-87.63
Public Rack - Oglesby Ave & 95th St,1,41.72,-87.57
Troy St & Jackson Blvd,70,41.88,-87.7
